;PrecioInterno;PrecioInternacional;Producción;Exportaciones;TRM;EUR
ago-08;499935,48;154,23;715;642,00;1844,29;2840,50
sep-08;542379,17;150,20;777;939,00;2066,04;3087,50
oct-08;515869,35;133,37;939;839,00;2289,17;3037,00
nov-08;523920,83;137,49;933;915,00;2329,16;2945,00
dic-08;509229,84;133,40;1105;1007,00;2252,72;3144,00
ene-09;570741,94;148,88;876;868,00;2252,98;3114,50
feb-09;638629,46;149,58;868;943,00;2513,74;3235,50
mar-09;660395,16;162,00;765;817,00;2477,21;3376,50
abr-09;765395,83;190,94;345;550,00;2379,36;3028,00
may-09;835197,58;225,58;702;552,00;2229,95;3031,00
jun-09;666450,00;195,27;685;642,00;2090,04;3008,00
jul-09;642282,26;192,11;582;608,00;2052,68;2904,00
ago-09;672516,13;181,61;397;474,00;2018,97;2951,00
sep-09;613787,50;169,90;467;501,00;1980,77;2825,50
oct-09;565701,61;175,16;544;535,00;1904,86;2935,00
nov-09;591575,00;180,08;760;616,00;1973,57;3007,00
dic-09;673116,94;199,38;821;788,00;2017,05;2925,00
ene-10;716729,84;214,55;515;541,20;1978,19;2752,00
feb-10;678531,25;208,03;648;590,00;1952,89;2622,50
mar-10;688281,45;206,37;629;576,00;1909,10;2595,00
abr-10;660179,17;195,18;647;588,00;1940,36;2602,00
may-10;676951,61;197,76;822;576,00;1984,36;2426,00
jun-10;750262,50;229,06;780;648,00;1925,90;2345,50
jul-10;810629,03;230,88;787;612,00;1874,52;2407,50
ago-10;834798,39;241,77;615;599,00;1819,06;2316,50
sep-10;801608,33;239,26;530;530,00;1805,60;2452,50
oct-10;751221,77;236,50;807;632,00;1808,46;2563,00
nov-10;790295,83;239,59;979;826,70;1863,67;2521,00
dic-10;896588,71;256,52;1164;1105,30;1925,86;2562,00
ene-11;948322,58;280,05;908;847,70;1866,64;2562,00
feb-11;1024314,29;289,49;764;651,20;1882,61;2630,00
mar-11;1079008,06;300,93;779;923,60;1884,38;2649,00
abr-11;1070911,50;314,26;523;580,00;1812,77;2616,00
may-11;1021802,90;301,48;673;593,00;1801,65;2594,00
jun-11;965116,67;290,19;471;576,00;1782,54;2564,00
jul-11;931451,61;286,46;530;474,00;1761,75;2558,00
ago-11;963077,42;288,43;466;383,60;1785,04;2555,00
sep-11;975683,33;283,51;459;471,00;1836,15;2583,00
oct-11;909088,71;256,86;656;602,70;1910,38;2584,00
nov-11;925595,00;259,74;845;773,70;1918,21;2622,00
dic-11;897911,29;254,41;735;857,05;1934,08;2505,00
ene-12;874862,90;258,70;535;541,57;1852,12;2366,00
feb-12;826219,83;248,09;571;559,65;1783,56;2353,00
mar-12;727564,52;224,69;576;604,00;1766,34;2384,00
abr-12;703033,33;215,85;580;493,70;1775,06;2333,00
may-12;670334,68;208,08;689;589,81;1793,28;2258,00
jun-12;592504,17;184,45;714;613,00;1792,63;2255,00
jul-12;648096,77;203,75;668;552,17;1784,43;2203,00
ago-12;611620,97;189,27;565;583,00;1806,34;2294,00
sep-12;623425,00;191,54;519;527,00;1803,18;2313,00
oct-12;589463,71;182,73;653;582,07;1804,97;2373,00
nov-12;538683,33;172,55;770;735,84;1820,29;2359,00
dic-12;521262,10;167,67;904;786,64;1793,94;2330,00
ene-13;527979,84;170,64;877;743,10;1770,01;2411,00
feb-13;504406,25;164,74;625;718,54;1791,48;2367,00
mar-13;512520,16;163,46;617;676,60;1809,89;2332,00
abr-13;515554,17;164,52;970;685,65;1829,96;2402,00
may-13;511000,00;161,14;937;854,77;1850,12;2471,00
jun-13;476450,00;148,56;913;672,72;1909,50;2498,00
jul-13;467209,68;147,70;1031;786,35;1900,59;2520,00
ago-13;452133,06;142,47;770;930,51;1903,66;2555,00
sep-13;435562,50;135,93;860;673,85;1919,40;2578,00
oct-13;407205,65;130,14;1058;877,48;1885,91;2570,00
nov-13;384812,50;123,92;1113;1050,26;1922,14;2625,00
dic-13;401649,19;125,82;1115;1002,14;1934,08;2651,00
ene-14;429661,29;133,51;1011;967,78;1960,41;2717,00
feb-14;602312,50;173,96;874;989,37;2040,51;2819,00
mar-14;758745,97;213,63;828;928,35;2022,19;2715,00
abr-14;796837,50;223,79;832;822,36;1939,27;2683,00
may-14;743899,19;213,45;1050;836,24;1915,46;2584,00
jun-14;664916,67;196,14;944;761,16;1888,10;2572,00
jul-14;644649,19;194,91;1236;900,47;1858,40;2512,00
ago-14;715620,97;210,42;1151;880,67;1899,07;2522,00
sep-14;715708,33;202,77;912;825,93;1971,34;2558,00
oct-14;805931,45;219,27;1101;970,14;2047,03;2576,00
nov-14;771579,17;203,71;1115;1018,77;2127,25;2760,00
dic-14;781745,97;191,53;1086;1055,60;2344,23;2889,00
ene-15;768548,39;182,32;1088;1057,57;2397,69;2753,00
feb-15;724982,14;171,68;1029;1056,78;2420,38;2798,00
mar-15;684923,39;151,94;800;785,65;2586,58;2789,00
abr-15;687370,83;155,30;924;957,29;2495,36;2672,00
may-15;631318,55;148,45;1165;1005,46;2439,09;2780,00
jun-15;671900,00;150,58;1240;1006,37;2554,94;2900,00
jul-15;678778,23;142,24;1463;1200,54;2731,90;3163,00
ago-15;772657,26;144,96;1264;1078,34;3023,29;3424,00
sep-15;718670,83;133,04;1058;1085,52;3073,12;3450,00
oct-15;733637,10;140,28;1368;1173,42;2937,85;3187,00
nov-15;735033,33;137,49;1322;1110,97;2996,67;3321,00
dic-15;789258,06;140,23;1454;1195,72;3244,51;3442,00
ene-16;787528,23;134,98;1136;1098,40;3284,03;3552,00
feb-16;791775,86;137,71;1096;1112,75;3357,50;3577,00
mar-16;799129,03;145,18;944;1091,86;3145,26;3413,00
abr-16;756366,67;143,46;1043;930,90;2998,71;3260,00
may-16;755322,58;144,93;1163;891,20;2988,38;3439,00
jun-16;794433,33;158,70;1158;935,32;2991,68;3241,00
jul-16;835516,13;164,93;1102;489,24;2963,99;3427,00
ago-16;794032,26;161,36;1189;1273,22;2963,82;3315,00
sep-16;860866,67;168,13;1034;1012,12;2921,15;3239,00
oct-16;914612,90;171,13;1395;1230,16;2932,61;3297,00
nov-16;1007533,33;178,16;1653;1329,71;3106,40;3254,00
dic-16;860806,45;158,31;1319;1449,96;3009,53;3155,00
ene-17;883225,81;165,56;1275;1137,74;2944,65;3151,00
feb-17;859285,71;164,33;1293;1182,26;2881,68;3092,00
mar-17;850064,52;158,97;1020;1160,00;2943,49;3060,00
abr-17;804900,00;155,79;834;898,00;2873,55;3201,00
may-17;802516,13;153,49;901;833,87;2924,00;3278,00
jun-17;783400,00;148,86;1049;946,64;2958,36;3474,00
jul-17;849322,58;155,36;1373;1000,58;3038,76;3533,00
ago-17;851903,23;157,97;1294;1204,09;2972,62;3509,00
sep-17;813762,50;153,51;1228;1112,40;2918,49;3464,00
oct-17;776919,35;145,02;1073;1123,43;2955,06;3541,00
nov-17;784504,17;145,63;1304;1161,31;3013,17;3585,00
dic-17;757967,74;144,35;1550;1222,00;2991,42;3577,00
ene-18;763903,23;147,35;1131;1053,00;2867,68;3514,00
feb-18;745031,25;145,93;1212;1098,00;2860,00;3494,00
mar-18;729854,84;143,10;1037;1035,84;2852,46;3438,00
abr-18;715325,00;143,89;874;924,93;2765,96;3386,00
may-18;754209,68;144,48;1188;950,77;2862,95;3378,00
jun-18;746400,00;142,45;1087;915,10;2893,22;3422,00
jul-18;717838,71;135,80;1051;1075,91;2885,55;3376,00
ago-18;705064,52;132,40;1258;1024,86;2959,57;3534,00
sep-18;686933,33;127,01;1050;1098,41;3037,80;3436,00
oct-18;796774,19;141,35;1086;1057,66;3080,48;3636,00
nov-18;804283,33;141,64;1300;1233,45;3198,13;3658,00
