Fecha;ECO;PFAVAL;ISA;NUTRESA
3/12/2018;3290;1045;13000;24000
4/12/2018;3160;1050;13440;23700
5/12/2018;3220;1055;13480;23660
6/12/2018;3100;1025;13580;23520
7/12/2018;3100;1045;13740;23100
10/12/2018;3020;1040;13740;23640
11/12/2018;2980;1030;13720;23800
12/12/2018;3015;1010;13740;23700
13/12/2018;2960;1000;13780;23500
14/12/2018;2940;1005;13780;23700
17/12/2018;2875;952;13800;23600
18/12/2018;2835;975;13700;23800
19/12/2018;2815;975;14080;23620
20/12/2018;2615;949;13700;23380
21/12/2018;2665;950;14000;22600
24/12/2018;2550;950;14300;23480
26/12/2018;2720;990;14280;23880
27/12/2018;2715;975;14000;23340
28/12/2018;2645;999;13980;23500
2/01/2019;2650;996;14000;23500
3/01/2019;2760;1080;14340;23060
4/01/2019;2800;1030;14500;23300
8/01/2019;2890;1010;14620;23500
9/01/2019;2935;1030;14160;23520
10/01/2019;2935;1070;14220;23380
11/01/2019;2900;1080;14380;23600
14/01/2019;2910;1080;14200;23600
15/01/2019;2930;1070;14220;23820
16/01/2019;2930;1070;13880;23800
17/01/2019;2910;1060;13920;23660
18/01/2019;2895;1055;13980;23840
21/01/2019;2900;1055;13960;23880
22/01/2019;2900;1040;14000;23900
23/01/2019;2825;1040;14120;24100
24/01/2019;2835;1065;14180;24360
25/01/2019;2860;1080;14040;24880
28/01/2019;2815;1080;13960;25400
29/01/2019;2850;1080;14000;25480
30/01/2019;2915;1080;13960;26360
31/01/2019;2920;1070;13920;26540
1/02/2019;2935;1080;13920;26520
4/02/2019;2920;1105;13900;26520
5/02/2019;2950;1115;14080;27000
6/02/2019;2920;1115;14100;27000
7/02/2019;2865;1090;13960;26980
8/02/2019;2865;1100;13900;26920
11/02/2019;2840;1120;13940;26900
12/02/2019;2925;1125;13940;26780
13/02/2019;2955;1130;13960;26740
14/02/2019;2965;1120;14000;26500
15/02/2019;3055;1130;14120;26740
18/02/2019;3065;1125;14100;26740
19/02/2019;3050;1130;14060;26740
20/02/2019;3085;1135;14100;26680
21/02/2019;3060;1145;14060;26680
22/02/2019;3080;1155;14020;26500
25/02/2019;3145;1170;14020;26340
26/02/2019;3195;1185;14040;26320
27/02/2019;3230;1170;14080;26100
28/02/2019;3120;1175;13980;26100
1/03/2019;3165;1180;14040;26560
4/03/2019;3210;1175;13980;26280
5/03/2019;3215;1170;14000;26020
6/03/2019;3195;1210;14140;26540
7/03/2019;3175;1185;14140;26000
8/03/2019;3135;1190;14200;25860
11/03/2019;3200;1205;14280;25960
12/03/2019;3230;1210;14340;26120
13/03/2019;3330;1195;14880;26440
14/03/2019;3320;1205;15000;26800
15/03/2019;3400;1145;15480;27180
18/03/2019;3445;1220;16480;26900
19/03/2019;3470;1210;16700;26900
20/03/2019;3550;1235;16400;26700
21/03/2019;3565;1220;16100;26400
22/03/2019;3430;1215;16080;26500
26/03/2019;3470;1220;16740;26480
27/03/2019;3370;1225;16300;25700
28/03/2019;3370;1225;15900;25600
29/03/2019;3415;1235;15960;25780
1/04/2019;3460;1230;16200;25800
2/04/2019;3440;1225;16160;25620
3/04/2019;3410;1220;16220;26500
4/04/2019;3350;1225;16080;26180
5/04/2019;3360;1235;15880;26180
8/04/2019;3425;1275;15820;26160
9/04/2019;3380;1310;16200;26220
10/04/2019;3405;1300;16300;26160
11/04/2019;3320;1315;16220;26100
12/04/2019;3275;1290;16100;26000
15/04/2019;3230;1275;15520;25860
16/04/2019;3295;1305;15500;25760
17/04/2019;3030;1310;16300;25720
22/04/2019;3095;1310;16100;25940
23/04/2019;3105;1295;16000;26020
24/04/2019;3075;1305;16120;26380
25/04/2019;3075;1280;16020;26540
26/04/2019;3005;1290;16280;26540
29/04/2019;3020;1280;16200;26620
30/04/2019;2985;1245;15820;26800
2/05/2019;2945;1265;15960;26800
3/05/2019;2925;1260;16080;26780
6/05/2019;2915;1270;16000;26360
7/05/2019;2885;1275;15940;26100
8/05/2019;2970;1260;15820;26200
9/05/2019;3040;1255;15780;26340
10/05/2019;3070;1240;15640;26480
13/05/2019;3020;1210;15500;26180
14/05/2019;3005;1190;15540;26320
15/05/2019;3030;1170;15720;26140
16/05/2019;3075;1170;15720;26180
17/05/2019;3070;1165;15640;26000
20/05/2019;3045;1160;15660;25580
21/05/2019;3095;1190;15760;25160
22/05/2019;3040;1200;15780;25500
23/05/2019;2940;1180;15780;25000
24/05/2019;3000;1205;15800;25040
27/05/2019;2950;1175;15800;25020
28/05/2019;2815;1155;15580;25000
29/05/2019;2870;1165;15700;25000
30/05/2019;2810;1180;15880;25100
31/05/2019;2765;1175;16200;24880
4/06/2019;2820;1170;16500;25020
5/06/2019;2755;1165;16720;25140
6/06/2019;2770;1160;16880;25500
7/06/2019;2875;1170;17400;25900
10/06/2019;2815;1165;17520;26100
11/06/2019;2800;1175;17700;26160
12/06/2019;2725;1190;18400;25520
13/06/2019;2765;1205;18600;25500
14/06/2019;2790;1220;18760;25940
17/06/2019;2820;1215;18580;25500
18/06/2019;2870;1250;18700;25300
19/06/2019;2930;1255;18880;25480
20/06/2019;2980;1270;18880;25120
21/06/2019;3020;1280;18980;25100
25/06/2019;2985;1270;19360;25200
26/06/2019;2985;1270;18260;25060
27/06/2019;2945;1280;17820;25240
28/06/2019;2920;1285;17860;25020
2/07/2019;2925;1275;17920;24980
3/07/2019;3010;1290;18400;25220
4/07/2019;3010;1305;18500;25440
5/07/2019;3020;1320;18900;25800
8/07/2019;3015;1310;19200;25600
9/07/2019;3020;1320;19500;25600
10/07/2019;3090;1305;19900;25700
11/07/2019;3070;1305;19800;25700
12/07/2019;3070;1290;19960;25780
15/07/2019;3035;1300;19700;25620
16/07/2019;3025;1310;19680;26000
17/07/2019;3000;1300;19660;25340
18/07/2019;2965;1300;19200;25380
19/07/2019;3010;1300;19160;25760
22/07/2019;3030;1290;19000;25400
23/07/2019;3015;1300;19160;25480
24/07/2019;3000;1295;19300;25280
25/07/2019;3000;1285;19800;25340
26/07/2019;2980;1275;19200;25180
29/07/2019;2980;1290;18960;25360
30/07/2019;2965;1270;18000;25300
31/07/2019;2940;1265;17800;25120
1/08/2019;2925;1255;17460;25000
2/08/2019;2900;1250;16920;25500
5/08/2019;2860;1220;16200;24900
6/08/2019;2830;1220;16820;24420
8/08/2019;2825;1230;17500;25060
9/08/2019;2835;1235;16900;24820
12/08/2019;2800;1230;17100;24920
13/08/2019;2855;1260;17380;25040
14/08/2019;2750;1225;16900;24940
15/08/2019;2725;1230;17400;25500
16/08/2019;2750;1235;18000;25520
20/08/2019;2740;1250;18100;25760
21/08/2019;2750;1255;18100;25700
22/08/2019;2695;1235;18000;25780
23/08/2019;2615;1230;17460;25480
26/08/2019;2670;1225;17060;25040
27/08/2019;2655;1230;17500;25680
28/08/2019;2665;1250;17480;25580
29/08/2019;2680;1265;17900;25420
30/08/2019;2740;1285;18180;25840
2/09/2019;2735;1280;18500;25820
3/09/2019;2720;1275;18880;25600
4/09/2019;2750;1265;19280;25440
5/09/2019;2810;1270;19380;25440
