Fecha;Precio
30/01/2015;2.440,00
2/02/2015;2.406,50
3/02/2015;2.357,60
4/02/2015;2.392,85
5/02/2015;2.378,00
6/02/2015;2.380,50
9/02/2015;2.366,10
10/02/2015;2.382,15
11/02/2015;2.424,89
12/02/2015;2.388,97
13/02/2015;2.387,38
16/02/2015;2.390,50
17/02/2015;2.415,85
18/02/2015;2.430,65
19/02/2015;2.444,95
20/02/2015;2.459,42
23/02/2015;2.499,26
24/02/2015;2.486,00
25/02/2015;2.485,50
26/02/2015;2.491,95
27/02/2015;2.499,97
2/03/2015;2.535,60
3/03/2015;2.554,75
4/03/2015;2.541,60
5/03/2015;2.547,05
6/03/2015;2.582,65
9/03/2015;2.608,10
10/03/2015;2.631,11
11/03/2015;2.625,00
12/03/2015;2.628,25
13/03/2015;2.668,88
16/03/2015;2.687,25
17/03/2015;2.660,00
18/03/2015;2.628,50
19/03/2015;2.631,00
20/03/2015;2.574,43
23/03/2015;2.561,50
24/03/2015;2.511,50
25/03/2015;2.542,00
26/03/2015;2.561,00
27/03/2015;2.558,50
30/03/2015;2.576,00
31/03/2015;2.600,00
1/04/2015;2.574,26
2/04/2015;2.574,25
3/04/2015;2.566,00
6/04/2015;2.533,60
7/04/2015;2.514,00
8/04/2015;2.491,86
9/04/2015;2.498,75
10/04/2015;2.508,55
13/04/2015;2.558,00
14/04/2015;2.556,00
15/04/2015;2.507,50
16/04/2015;2.483,50
17/04/2015;2.500,10
20/04/2015;2.486,25
21/04/2015;2.472,50
22/04/2015;2.491,50
23/04/2015;2.468,14
24/04/2015;2.452,50
27/04/2015;2.412,00
28/04/2015;2.400,00
29/04/2015;2.377,00
30/04/2015;2.382,00
1/05/2015;2.391,50
4/05/2015;2.409,50
5/05/2015;2.390,25
6/05/2015;2.361,00
7/05/2015;2.371,15
8/05/2015;2.355,32
11/05/2015;2.386,50
12/05/2015;2.383,50
13/05/2015;2.387,50
14/05/2015;2.390,43
15/05/2015;2.416,00
18/05/2015;2.433,50
19/05/2015;2.485,00
20/05/2015;2.488,00
21/05/2015;2.480,80
22/05/2015;2.502,50
25/05/2015;2.489,50
26/05/2015;2.545,90
27/05/2015;2.535,40
28/05/2015;2.536,75
29/05/2015;2.531,00
1/06/2015;2.562,10
2/06/2015;2.556,65
3/06/2015;2.578,50
4/06/2015;2.591,97
5/06/2015;2.622,50
8/06/2015;2.610,00
9/06/2015;2.556,50
10/06/2015;2.526,50
11/06/2015;2.532,00
12/06/2015;2.526,00
15/06/2015;2.538,00
16/06/2015;2.538,68
17/06/2015;2.550,50
18/06/2015;2.542,63
19/06/2015;2.554,50
22/06/2015;2.535,12
23/06/2015;2.552,32
24/06/2015;2.558,67
25/06/2015;2.560,57
26/06/2015;2.584,37
29/06/2015;2.589,32
30/06/2015;2.605,22
1/07/2015;2.639,78
2/07/2015;2.633,50
3/07/2015;2.636,50
6/07/2015;2.672,50
7/07/2015;2.692,72
8/07/2015;2.683,47
9/07/2015;2.674,86
10/07/2015;2.673,50
13/07/2015;2.686,00
14/07/2015;2.684,50
15/07/2015;2.716,32
16/07/2015;2.738,88
17/07/2015;2.759,30
20/07/2015;2.761,78
21/07/2015;2.769,50
22/07/2015;2.790,00
23/07/2015;2.833,82
24/07/2015;2.852,72
27/07/2015;2.859,71
28/07/2015;2.862,50
29/07/2015;2.849,86
30/07/2015;2.877,33
31/07/2015;2.880,00
3/08/2015;2.918,00
4/08/2015;2.924,50
5/08/2015;2.951,35
6/08/2015;2.939,32
7/08/2015;2.938,36
10/08/2015;2.908,05
11/08/2015;2.943,07
12/08/2015;2.940,50
13/08/2015;2.983,03
14/08/2015;2.991,75
17/08/2015;2.997,85
18/08/2015;3.003,80
19/08/2015;3.024,60
20/08/2015;3.061,99
21/08/2015;3.107,65
24/08/2015;3.238,66
25/08/2015;3.208,49
26/08/2015;3.261,50
27/08/2015;3.162,00
28/08/2015;3.075,00
31/08/2015;3.054,60
1/09/2015;3.115,50
2/09/2015;3.171,00
3/09/2015;3.109,00
4/09/2015;3.127,50
7/09/2015;3.142,00
8/09/2015;3.114,50
9/09/2015;3.113,50
10/09/2015;3.050,00
11/09/2015;3.043,00
14/09/2015;3.027,50
15/09/2015;3.026,35
16/09/2015;2.967,00
17/09/2015;2.981,50
18/09/2015;2.984,50
21/09/2015;3.009,47
22/09/2015;3.071,35
23/09/2015;3.119,00
24/09/2015;3.105,50
25/09/2015;3.073,75
28/09/2015;3.122,35
29/09/2015;3.109,57
30/09/2015;3.087,81
1/10/2015;3.061,78
2/10/2015;3.017,57
5/10/2015;2.961,70
6/10/2015;2.916,00
7/10/2015;2.899,30
8/10/2015;2.870,50
9/10/2015;2.865,50
12/10/2015;2.865,00
13/10/2015;2.912,25
14/10/2015;2.927,00
15/10/2015;2.895,27
16/10/2015;2.884,25
19/10/2015;2.919,00
20/10/2015;2.937,00
21/10/2015;2.960,50
22/10/2015;2.904,19
23/10/2015;2.916,90
26/10/2015;2.929,50
27/10/2015;2.948,50
28/10/2015;2.921,00
29/10/2015;2.915,95
30/10/2015;2.896,86
2/11/2015;2.897,00
3/11/2015;2.799,70
4/11/2015;2.837,00
5/11/2015;2.857,81
6/11/2015;2.890,60
9/11/2015;2.928,50
10/11/2015;2.941,60
11/11/2015;2.951,00
12/11/2015;3.040,10
13/11/2015;3.076,40
16/11/2015;3.076,40
17/11/2015;3.076,00
18/11/2015;3.103,60
19/11/2015;3.073,00
20/11/2015;3.066,00
23/11/2015;3.093,30
24/11/2015;3.068,51
25/11/2015;3.086,82
26/11/2015;3.086,82
27/11/2015;3.108,00
30/11/2015;3.144,60
1/12/2015;3.124,80
2/12/2015;3.162,00
3/12/2015;3.143,00
4/12/2015;3.203,50
7/12/2015;3.308,50
8/12/2015;3.308,50
9/12/2015;3.282,70
10/12/2015;3.246,20
11/12/2015;3.320,00
14/12/2015;3.350,50
15/12/2015;3.320,00
16/12/2015;3.334,35
17/12/2015;3.346,50
18/12/2015;3.328,50
21/12/2015;3.330,00
22/12/2015;3.313,50
23/12/2015;3.215,50
24/12/2015;3.173,00
25/12/2015;3.187,50
28/12/2015;3.175,50
29/12/2015;3.166,50
30/12/2015;3.175,00
31/12/2015;3.174,50
1/01/2016;3.175,00
4/01/2016;3.220,00
5/01/2016;3.211,50
6/01/2016;3.255,50
7/01/2016;3.272,00
8/01/2016;3.265,98
11/01/2016;3.265,50
12/01/2016;3.276,00
13/01/2016;3.255,50
14/01/2016;3.229,74
15/01/2016;3.302,50
18/01/2016;3.300,80
19/01/2016;3.310,00
