Fecha;COLCAP
19/02/2009;849,2
20/02/2009;834,24
23/02/2009;831,19
24/02/2009;825,17
25/02/2009;833,07
26/02/2009;845,42
27/02/2009;852,16
2/03/2009;831,95
3/03/2009;836,43
4/03/2009;847,72
5/03/2009;836,56
6/03/2009;839,26
9/03/2009;837,87
10/03/2009;849,64
11/03/2009;844,1
12/03/2009;849,28
13/03/2009;853,48
16/03/2009;860,68
17/03/2009;858,04
18/03/2009;861,29
19/03/2009;870,05
20/03/2009;865,59
24/03/2009;876,42
25/03/2009;876,51
26/03/2009;874,55
27/03/2009;873,16
30/03/2009;862,14
31/03/2009;874,21
1/04/2009;878,12
2/04/2009;891,09
3/04/2009;887,26
6/04/2009;886,41
7/04/2009;887,58
8/04/2009;882,87
13/04/2009;879,78
14/04/2009;884,57
15/04/2009;888,74
16/04/2009;889,61
17/04/2009;885
20/04/2009;878,58
21/04/2009;880,4
22/04/2009;881,55
23/04/2009;891,19
24/04/2009;914,93
27/04/2009;912,5
28/04/2009;918,25
29/04/2009;933,82
30/04/2009;931,93
4/05/2009;947,85
5/05/2009;953,11
6/05/2009;960,78
7/05/2009;973,07
8/05/2009;1004,96
11/05/2009;996,84
12/05/2009;1003,38
13/05/2009;989
14/05/2009;1001,37
15/05/2009;1001,45
18/05/2009;1012,19
19/05/2009;1022,41
20/05/2009;1024,78
21/05/2009;1007,56
22/05/2009;1008,43
26/05/2009;1016,43
27/05/2009;1012,49
28/05/2009;1024,05
29/05/2009;1031,53
1/06/2009;1054,15
2/06/2009;1049,71
3/06/2009;1042,32
4/06/2009;1052,39
5/06/2009;1052,93
8/06/2009;1048,86
9/06/2009;1051,36
10/06/2009;1056,77
11/06/2009;1074,78
12/06/2009;1076,81
16/06/2009;1066,41
17/06/2009;1072,41
18/06/2009;1079,22
19/06/2009;1090,73
23/06/2009;1089,32
24/06/2009;1090,37
25/06/2009;1098,87
26/06/2009;1094,95
30/06/2009;1102,73
1/07/2009;1119,35
2/07/2009;1119,53
3/07/2009;1116,98
6/07/2009;1110,83
7/07/2009;1113,67
8/07/2009;1103,93
9/07/2009;1085,58
10/07/2009;1083,01
13/07/2009;1082,69
14/07/2009;1089,24
15/07/2009;1090,85
16/07/2009;1092,88
17/07/2009;1104,86
21/07/2009;1113,97
22/07/2009;1120,17
23/07/2009;1141,9
24/07/2009;1146,58
27/07/2009;1143,37
28/07/2009;1126,75
29/07/2009;1122,62
30/07/2009;1147,57
31/07/2009;1156,22
3/08/2009;1165,42
4/08/2009;1168,2
5/08/2009;1162,95
6/08/2009;1169,26
10/08/2009;1174,71
11/08/2009;1162,53
12/08/2009;1171,32
13/08/2009;1179,38
14/08/2009;1180,48
18/08/2009;1176,17
19/08/2009;1181,11
20/08/2009;1192,34
21/08/2009;1202,28
24/08/2009;1229,85
25/08/2009;1227,18
26/08/2009;1218,39
27/08/2009;1210,09
28/08/2009;1214,38
31/08/2009;1209,09
1/09/2009;1178,87
2/09/2009;1182,83
3/09/2009;1173,66
4/09/2009;1192,55
7/09/2009;1200,04
8/09/2009;1219,62
9/09/2009;1219,9
10/09/2009;1218,36
