;PrecioInterno;PrecioInternacional;Producción;Exportaciones;TRM;EUR
dic-09;673116,94;199,38;821;788;2017,05;2925
ene-10;716729,84;214,55;515;541,2;1978,19;2752
feb-10;678531,25;208,03;648;590;1952,89;2622,5
mar-10;688281,45;206,37;629;576;1909,1;2595
abr-10;660179,17;195,18;647;588;1940,36;2602
may-10;676951,61;197,76;822;576;1984,36;2426
jun-10;750262,5;229,06;780;648;1925,9;2345,5
jul-10;810629,03;230,88;787;612;1874,52;2407,5
ago-10;834798,39;241,77;615;599;1819,06;2316,5
sep-10;801608,33;239,26;530;530;1805,6;2452,5
oct-10;751221,77;236,5;807;632;1808,46;2563
nov-10;790295,83;239,59;979;826,7;1863,67;2521
dic-10;896588,71;256,52;1164;1105,3;1925,86;2562
ene-11;948322,58;280,05;908;847,7;1866,64;2562
feb-11;1024314,29;289,49;764;651,2;1882,61;2630
mar-11;1079008,06;300,93;779;923,6;1884,38;2649
abr-11;1070911,5;314,26;523;580;1812,77;2616
may-11;1021802,9;301,48;673;593;1801,65;2594
jun-11;965116,67;290,19;471;576;1782,54;2564
jul-11;931451,61;286,46;530;474;1761,75;2558
ago-11;963077,42;288,43;466;383,6;1785,04;2555
sep-11;975683,33;283,51;459;471;1836,15;2583
oct-11;909088,71;256,86;656;602,7;1910,38;2584
nov-11;925595;259,74;845;773,7;1918,21;2622
dic-11;897911,29;254,41;735;857,05;1934,08;2505
ene-12;874862,9;258,7;535;541,57;1852,12;2366
feb-12;826219,83;248,09;571;559,65;1783,56;2353
mar-12;727564,52;224,69;576;604;1766,34;2384
abr-12;703033,33;215,85;580;493,7;1775,06;2333
may-12;670334,68;208,08;689;589,81;1793,28;2258
jun-12;592504,17;184,45;714;613;1792,63;2255
jul-12;648096,77;203,75;668;552,17;1784,43;2203
ago-12;611620,97;189,27;565;583;1806,34;2294
sep-12;623425;191,54;519;527;1803,18;2313
oct-12;589463,71;182,73;653;582,07;1804,97;2373
nov-12;538683,33;172,55;770;735,84;1820,29;2359
dic-12;521262,1;167,67;904;786,64;1793,94;2330
ene-13;527979,84;170,64;877;743,1;1770,01;2411
feb-13;504406,25;164,74;625;718,54;1791,48;2367
mar-13;512520,16;163,46;617;676,6;1809,89;2332
abr-13;515554,17;164,52;970;685,65;1829,96;2402
may-13;511000;161,14;937;854,77;1850,12;2471
jun-13;476450;148,56;913;672,72;1909,5;2498
